method,window,x24_delta,T85_delta,reflux_move_delta,reboiler_move_delta
Residual,Release,0.00016975071132285628,0.01431571425389419,-1.5895779751039782,-0.0006455525570684684
Residual,Early,-0.00011020967944576766,-0.016977585115838634,9.290629522393687,-0.0036882652381443337
Residual,Mid,-0.00011811475928015058,-0.03633425822926556,-1.3082074955777045,-0.007595600188402135
Residual,Tail,0.0004400138517102706,-0.022704494586795687,-6.279587494516107,-0.00316403082577936
Residual,Full,0.00019258384332306402,-0.02009205329533073,-2.1270569416665808,-0.00370278938328511
Matrix pre-step,Release,0.004605965659197865,0.6606042116640052,607.4245779210192,0.8150003115895467
Matrix pre-step,Early,0.0007931827854109647,0.38480111780918447,178.8481203947813,0.2731547241375042
Matrix pre-step,Mid,0.00023091103612934614,0.20098204473524672,164.89508002190846,0.2257514011316837
Matrix pre-step,Tail,-0.0004453720702258172,0.0595598909957836,158.53321492101102,0.1700543925324886
Matrix pre-step,Full,0.000287920989306978,0.17724183717667183,184.62968321099413,0.23227570816589638
