method,variant,style,window,bc_weight_mean,policy_nominal_distance_mean,actor_target_distance_mean,multiplier_distance_mean,action_saturation_mean,fallback_steps
Scalar matrix,"BC-only, 2026-04-27",old,11-20,0.01932546995617896,1.068577094745236,1.1311922078813856,0.5255577064899832,0.139125,0
Scalar matrix,"BC-only, 2026-04-27",old,21-40,0.0,1.1137820018282139,1.100243330001831,0.4683141210278966,0.07452083333333333,0
Scalar matrix,"BC-only, 2026-04-27",old,101-200,0.0,1.209592286442536,,0.3649041719080863,0.037884427215738044,0
Scalar matrix,"Stronger BC, 2026-04-27",new,11-20,0.10887102391299433,1.0195715404543568,1.1039224433763664,0.49834873488075926,0.13020833333333331,0
Scalar matrix,"Stronger BC, 2026-04-27",new,21-40,0.003535144253452818,1.062900156341564,1.1737622966828332,0.4400557218533897,0.0715625,0
Scalar matrix,"Stronger BC, 2026-04-27",new,101-200,0.0,1.0091254107221548,,0.34081826031780105,0.04320753568636263,0
Structured matrix,"BC-only, 2026-04-27",old,11-20,0.01932546995617896,1.8262221815375264,1.8789610384699589,0.6820133202563502,0.7537916666666667,0
Structured matrix,"BC-only, 2026-04-27",old,21-40,0.0,1.9707346750185692,1.979849934577942,0.6564925128993788,0.6737291666666666,0
Structured matrix,"BC-only, 2026-04-27",old,101-200,0.0,2.044154812560601,,0.6552646296056757,0.50075,0
Structured matrix,"Stronger BC, 2026-04-27",new,11-20,0.2571028626386599,1.7974586391965335,1.8705789022921777,0.6706700562938056,0.7276666666666667,0
Structured matrix,"Stronger BC, 2026-04-27",new,21-40,0.016372332669289943,1.9437954807595264,2.0468081209663946,0.6321207720974471,0.6210625,0
Structured matrix,"Stronger BC, 2026-04-27",new,101-200,0.0,1.9957130461256831,,0.642328288723617,0.4350375,0
