run_id,family,variant_key,variant_label,run_path,scaled_mae_mean,scaled_mae_tail_mean,phys_mae_mean,phys_mae_tail_mean,reward_final20_mean,tail_phys_mae_delta_vs_baseline,innovation_p99_mean,tracking_error_p99_mean,innovation_raw_p99_mean,tracking_error_raw_p99_mean,innovation_exact3_mean,tracking_error_exact3_mean,rho_mean,rho_eq1_frac,deadband_frac,residual_norm_mean,residual_norm_tail,multiplier_abs_mean,multiplier_abs_p95,multiplier_step_norm_p95
baseline,baseline,baseline,baseline,Polymer/Data/mpc_results_dist.pickle,0.31544176803092805,0.3155724238754887,0.1700346993745538,0.17012872005326019,-4.417343288580123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
residual:legacy,residual,legacy,legacy,Polymer/Results/td3_residual_disturb/20260413_004620/input_data.pkl,0.3110780898614632,0.3091117174900909,0.16995229661046884,0.16998427480822434,-3.931316953211266,-0.00014444524503590128,1.9401027831435205,3.0,nan,nan,0.0497125,0.40838125000000003,0.6866834817613282,0.55471875,nan,0.013390080978304993,0.013232084588463255,nan,nan,nan
residual:refreshed_current_observer,residual,refreshed_current_observer,refreshed (current-observer run),Polymer/Results/td3_residual_disturb/20260420_225631/input_data.pkl,0.2822457047481406,0.2747172350839464,0.1548376039035509,0.15038383100394798,-3.681150757345578,-0.019744889049312514,1.731185229048133,5.149758586883545,13.555043098330499,203.09348770141602,2.1875e-05,1.5625e-05,0.5858037420032106,0.1673125,0.16146875,0.013332161187033632,0.013430357769663304,nan,nan,nan
matrix:legacy,matrix,legacy,legacy,Polymer/Results/td3_multipliers_disturb/20260411_011134/input_data.pkl,0.30838377569149106,0.3141135987945388,0.16706947062583852,0.1721760452915746,-4.189872316854176,0.0020473252383136076,0.1781801182404166,1.30826944828034,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
matrix:refreshed_current_observer,matrix,refreshed_current_observer,refreshed (current-observer run),Polymer/Results/td3_multipliers_disturb/20260420_215528/input_data.pkl,0.3043448537871253,0.29745492794662176,0.16839965838995596,0.16546807871275682,-4.054885834251573,-0.004660641340503674,1.6965734067931773,5.168461017608642,12.866799681708223,207.65662143707277,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
matrix:refreshed_legacy_observer,matrix,refreshed_legacy_observer,refreshed (legacy-observer run),Polymer/Results/td3_multipliers_disturb/20260420_234944/input_data.pkl,0.3120565188067046,0.3110998960171394,0.17182003275914481,0.17276880028544128,-4.084371601618743,0.0026400802321809858,1.817133193314079,5.16876131772995,10.543568309843616,207.53466838836673,0.0,1.2499999999999999e-05,nan,nan,nan,nan,nan,nan,nan,nan
structured:legacy,structured,legacy,legacy,Polymer/Results/td3_structured_matrices_disturb/20260409_193654/input_data.pkl,0.31549345827473996,0.31000877570309154,0.1697410478411766,0.16708062738354612,-4.317610302488879,-0.003048092669713509,0.19585819104686408,1.3127384704351428,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,1.0002785038384323,1.0370150527358055,2.483064406317719
structured:refreshed_legacy_observer,structured,refreshed_legacy_observer,refreshed (legacy-observer run),Polymer/Results/td3_structured_matrices_disturb/20260420_235100/input_data.pkl,0.3123704111101882,0.30688402447248225,0.16998129511523627,0.16728065671072864,-4.19902894624919,-0.0028480633425318758,1.7982399281859403,5.166491200924014,10.45731502354146,206.25358169558683,0.0,3.125e-06,nan,nan,nan,nan,nan,1.0048341267005736,1.0499904155731201,2.503479403483399
reidentification:legacy,reidentification,legacy,legacy,Polymer/Results/td3_reidentification_disturb/20260415_120803/input_data.pkl,0.3257042457035646,0.32031214955085224,0.1725054031369608,0.1672092623039684,-4.500595107036237,-0.0029194577492917817,1.7836114484071732,3.0,nan,nan,0.07195625,0.445846875,nan,nan,nan,nan,nan,nan,nan,nan
reidentification:refreshed_legacy_observer,reidentification,refreshed_legacy_observer,refreshed (legacy-observer run),Polymer/Results/td3_reidentification_disturb/20260420_234346/input_data.pkl,0.32173869142463407,0.32445464537081437,0.17470585036053382,0.17669800295202093,-4.412472699824457,0.006569282898761214,1.7780799439549455,5.16596955060971,10.16406805843116,205.85270252231686,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
