system,parameter_group,channel,value
polymer,residual_span,1,0.5
polymer,authority_beta_res,1,0.5
polymer,authority_du0_res,1,0.001
polymer,residual_span,2,0.5
polymer,authority_beta_res,2,0.5
polymer,authority_du0_res,2,0.001
polymer,k_rel,1,0.003
polymer,k_rel,2,0.0003
polymer,band_floor_phys,1,0.006
polymer,band_floor_phys,2,0.07
polymer,authority_rho_floor,0,0.15
polymer,authority_rho_power,0,1.0
polymer,mismatch_clip,0,3.0
polymer,tracking_eta_tol,0,0.3
distillation,residual_span,1,0.1
distillation,authority_beta_res,1,0.3
distillation,authority_du0_res,1,0.003
distillation,residual_span,2,0.1
distillation,authority_beta_res,2,0.3
distillation,authority_du0_res,2,0.003
distillation,k_rel,1,0.3
distillation,k_rel,2,0.02
distillation,band_floor_phys,1,0.003
distillation,band_floor_phys,2,0.3
distillation,authority_rho_floor,0,0.2
distillation,authority_rho_power,0,1.0
distillation,mismatch_clip,0,3.0
distillation,tracking_eta_tol,0,0.3
